GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1096170792	2021-03-20 21:48:09.640947	25797	species	Ruby-crowned Kinglet	Regulus calendula			1					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096170784	2021-03-20 21:48:09.640947	26950	species	Brown Thrasher	Toxostoma rufum			8					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1111190909	2021-04-03 23:33:38.575114	7029	species	American White Pelican	Pelecanus erythrorhynchos			4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mason mill	L13800298	P	32.3351544	-86.0373657	2021-03-31	09:00:00	obsr658500	S84730453	Incidental	P20	EBIRD				1	0		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096170785	2021-03-20 21:48:09.640947	31943	species	White-throated Sparrow	Zonotrichia albicollis			5					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1096170788	2021-03-20 21:48:09.640947	32155	species	Eastern Towhee	Pipilo erythrophthalmus			4					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Oak Park	L2612975	H	32.3692002	-86.2869912	2021-03-16	09:56:00	obsr1051804	S83508237	Traveling	P22	EBIRD	63	1.754		3	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1089413586	2021-03-25 12:14:45.195882	2316	species	White-winged Dove	Zenaida asiatica			6					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			The National Memorial For Peace And Justice	L13946863	H	32.3718558	-86.3137808	2021-03-07	07:09:00	obsr374184	S82925916	Traveling	P22	EBIRD	26	0.531		2	1	G6381641	1	1	1			Photos and audio taken. Known area.
URN:CornellLabOfOrnithology:EBIRD:OBS1089588692	2021-03-08 12:45:11.360109	31986	species	Savannah Sparrow	Passerculus sandwichensis			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Hyundai	L13950137	P	32.2797222	-86.3424903	2021-03-07	10:02:00	obsr374184	S82942942	Traveling	P22	EBIRD	42	0.338		2	1	G6381638	1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1097854994	2021-03-19 21:23:57.949354	21225	species	Tufted Titmouse	Baeolophus bicolor			2					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Auburn University at Montgomery (AUM) trail	L10515992	H	32.3698190	-86.1800170	2021-03-18	13:45:00	obsr658500	S83648464	Traveling	P22	EBIRD	30	0.805		1	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1086952535	2021-03-03 21:23:28.321746	27031	species	Eastern Bluebird	Sialia sialis			3					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			Mason mill	L13800298	P	32.3351544	-86.0373657	2021-03-03	15:30:00	obsr658500	S82713717	Traveling	P22	EBIRD	30	0.483		1	1		1	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS1090617146	2021-03-22 01:11:30.254707	5942	species	Wilson's Snipe	Gallinago delicata			15					United States	US	Alabama	US-AL	Montgomery	US-AL-101		27			1965 Hyundai Boulevard, Montgomery, Alabama, US (32.279, -86.342)	L6656455	P	32.2785202	-86.3420950	2021-03-08	15:04:00	obsr665305	S83034686	Traveling	P22	EBIRD	14	0.271		1	1		1	1	0			Conservative estimate. Down in grass huddled together so difficult to count.
